hrwage,educ,female,fulltimely
14.423077,Less than HS,0,1.0
.,Less than HS,0,.
16.346153,HS diploma/GED,0,1.0
17.307692,HS diploma/GED,1,1.0
11.778846,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
22.26923,Graduate degree,1,1.0
16.0,Some college,0,0.0
.,Less than HS,0,.
15.277778,College degree,1,1.0
10.817307,Some college,1,0.0
12.5,Less than HS,0,0.0
10.416667,HS diploma/GED,1,0.0
.,Some college,0,.
20.0,College degree,0,1.0
.,Less than HS,0,.
18.571428,College degree,1,1.0
0.0,Some college,0,1.0
21.0,Some college,1,1.0
.,.,0,.
.,Less than HS,0,.
53.333332,College degree,1,0.0
138.88889,Graduate degree,0,0.0
21.634615,Some college,1,1.0
.,HS diploma/GED,0,.
11.111111,Some college,1,0.0
.,HS diploma/GED,1,.
1.5625,Less than HS,0,0.0
.,Less than HS,0,.
0.0,Some college,0,0.0
21.634615,HS diploma/GED,1,1.0
.,.,0,.
.,Less than HS,0,.
.,HS diploma/GED,1,.
.,.,0,.
17.211538,College degree,1,1.0
.,HS diploma/GED,1,.
36.057693,HS diploma/GED,0,1.0
.,.,0,.
.,.,0,.
18.010101,HS diploma/GED,0,1.0
14.230769,Some college,0,1.0
8.136095,HS diploma/GED,1,0.0
13.461538,HS diploma/GED,0,1.0
.,Less than HS,1,.
47.116344,Graduate degree,0,1.0
22.5,Graduate degree,1,1.0
31.25,Less than HS,0,0.0
.,HS diploma/GED,1,.
.,Graduate degree,1,.
.,HS diploma/GED,0,.
20.614346,Some college,1,1.0
8.141026,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
28.846153,Some college,1,1.0
.,Some college,1,.
.,Graduate degree,0,.
25.641026,HS diploma/GED,1,1.0
21.634615,College degree,0,1.0
.,.,1,.
.,.,0,.
3.75,Less than HS,0,1.0
0.0,HS diploma/GED,0,1.0
5.9171596,HS diploma/GED,1,1.0
0.0,HS diploma/GED,0,0.0
.,.,1,.
134.61539,Graduate degree,1,0.0
22.307692,Graduate degree,0,1.0
.,.,1,.
.,.,0,.
16.826923,Some college,1,0.0
.,.,1,.
.,.,0,.
.,.,0,.
12.5,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
.,College degree,1,.
88.46154,Graduate degree,0,1.0
10.416667,College degree,1,0.0
.,.,0,.
.,.,0,.
.,.,1,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
24.038462,College degree,1,1.0
16.666666,Some college,1,0.0
4.8076925,HS diploma/GED,1,0.0
12.5,HS diploma/GED,1,0.0
.,Less than HS,1,.
.,.,0,.
.,.,0,.
25.213675,Some college,1,1.0
19.23077,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,.,0,.
.,HS diploma/GED,1,.
17.5,HS diploma/GED,0,1.0
120.0,HS diploma/GED,0,0.0
.,HS diploma/GED,1,.
0.0,Less than HS,0,1.0
.,Less than HS,1,.
.,College degree,1,.
.,Some college,0,.
0.0,Some college,0,1.0
7.3964496,HS diploma/GED,1,1.0
.,.,1,.
.,.,0,.
.,.,1,.
21.634615,Some college,1,1.0
17.482517,HS diploma/GED,0,1.0
.,.,1,.
.,Less than HS,1,.
53.846153,Some college,0,1.0
25.0,Some college,0,1.0
21.634615,College degree,1,1.0
18.589743,College degree,1,1.0
30.0,Graduate degree,1,0.0
22.923077,HS diploma/GED,0,1.0
16.239317,College degree,1,1.0
6.7708335,Less than HS,0,1.0
.,.,1,.
.,.,1,.
.,.,1,.
0.0,Some college,0,1.0
5.769231,College degree,1,1.0
.,.,0,.
.,.,1,.
.,.,0,.
.,HS diploma/GED,1,.
24.038462,HS diploma/GED,0,1.0
0.0,HS diploma/GED,1,0.0
.,.,0,.
.,Graduate degree,0,.
.,HS diploma/GED,1,.
31.25,HS diploma/GED,0,1.0
43.26923,Some college,1,1.0
.,HS diploma/GED,0,.
11.0,Some college,1,0.0
10.0,Some college,1,0.0
12.5,HS diploma/GED,1,1.0
28.846153,HS diploma/GED,0,1.0
.,.,1,.
.,.,0,.
10.576923,Graduate degree,1,1.0
.,Less than HS,1,.
.,Less than HS,0,.
15.625,College degree,0,1.0
.,HS diploma/GED,0,.
.,Some college,1,.
7.912088,HS diploma/GED,1,1.0
19.23077,HS diploma/GED,0,1.0
51.442307,Some college,0,1.0
19.5,Some college,1,1.0
.,.,1,.
.,.,1,.
5.8333335,Less than HS,0,1.0
21.367521,Some college,0,1.0
24.038462,College degree,0,1.0
27.75,Less than HS,0,0.0
136.525,Some college,1,1.0
11.688461,HS diploma/GED,0,1.0
7.6041665,Less than HS,0,0.0
10.35503,College degree,0,1.0
3.7434895,HS diploma/GED,1,1.0
.,.,1,.
.,Some college,0,.
.,College degree,1,.
18.376068,HS diploma/GED,0,1.0
.,College degree,1,.
.,Some college,0,.
11.538462,Some college,1,0.0
7.6923075,HS diploma/GED,0,1.0
.,Less than HS,0,.
.,.,0,.
.,.,1,.
25.641026,College degree,1,1.0
7.8125,Some college,0,1.0
.,.,1,.
.,Some college,0,.
.,College degree,1,.
15.934066,HS diploma/GED,1,1.0
.,.,1,.
.,.,0,.
.,.,0,.
.,HS diploma/GED,1,.
27.777779,College degree,1,1.0
25.0,Graduate degree,1,1.0
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
.,.,0,.
21.392857,HS diploma/GED,0,0.0
.,Graduate degree,0,.
.,College degree,1,.
22.435898,HS diploma/GED,0,1.0
15.384615,College degree,1,1.0
.,Graduate degree,0,.
.,Some college,1,.
21.153847,Graduate degree,1,1.0
9.615385,Some college,0,1.0
28.415615,College degree,0,1.0
.,College degree,1,.
12.5,Less than HS,0,0.0
.,.,0,.
16.02564,College degree,1,1.0
34.134617,Graduate degree,0,1.0
.,.,1,.
.,.,1,.
5.4945054,Some college,1,1.0
.,.,1,.
.,.,1,.
.,HS diploma/GED,1,.
.,.,1,.
.,HS diploma/GED,0,.
.,.,1,.
.,.,1,.
.,Less than HS,1,.
.,.,1,.
.,College degree,0,.
0.0,College degree,1,1.0
.,HS diploma/GED,1,.
32.05128,HS diploma/GED,0,1.0
.,.,0,.
.,Some college,1,.
40.064102,College degree,0,1.0
.,.,0,.
.,.,1,.
.,Less than HS,0,.
.,Some college,1,.
19.711538,Graduate degree,0,1.0
21.634615,Graduate degree,1,1.0
.,.,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
8.333333,Less than HS,1,0.0
.,Less than HS,0,.
29.807692,Some college,0,1.0
.,Some college,1,.
.,.,0,.
.,.,1,.
.,.,0,.
.,.,0,.
.,.,1,.
33.658173,College degree,0,1.0
.,.,1,.
.,.,1,.
11.057693,HS diploma/GED,1,1.0
22.596153,HS diploma/GED,0,1.0
3.3653846,Graduate degree,1,1.0
17.788462,College degree,1,1.0
19.23077,Some college,0,1.0
.,.,0,.
3.2127404,Some college,1,0.0
21.923077,Some college,0,1.0
.,Less than HS,0,.
.,Less than HS,0,.
23.125,Less than HS,0,1.0
17.514423,Some college,1,1.0
12.000961,Some college,1,1.0
.,.,1,.
6.3461537,HS diploma/GED,1,0.0
.,.,1,.
22.139423,Some college,1,1.0
26.442308,Some college,0,0.0
.,.,1,.
.,Less than HS,0,.
.,Less than HS,1,.
.,HS diploma/GED,0,.
24.0,Less than HS,0,0.0
.,HS diploma/GED,0,.
19.791666,HS diploma/GED,0,1.0
13.541667,HS diploma/GED,1,1.0
12.820513,Some college,0,1.0
13.888889,Some college,1,0.0
.,Some college,1,.
40.064102,College degree,1,1.0
.,Less than HS,0,.
.,.,1,.
.,Some college,1,.
.,Graduate degree,0,.
.,Graduate degree,1,.
.,.,0,.
.,.,1,.
18.75,HS diploma/GED,1,1.0
35.576923,HS diploma/GED,0,1.0
.,.,1,.
.,.,0,.
.,Some college,0,.
.,Graduate degree,1,.
.,College degree,0,.
32.21154,Some college,0,1.0
.,HS diploma/GED,0,.
10.384615,HS diploma/GED,0,0.0
.,HS diploma/GED,1,.
7.8076925,HS diploma/GED,1,0.0
6.6666665,Less than HS,0,0.0
.,.,0,.
.,.,0,.
16.153847,College degree,0,1.0
16.239317,Some college,1,1.0
.,.,0,.
.,.,1,.
.,HS diploma/GED,1,.
10.0,HS diploma/GED,0,1.0
.,Less than HS,1,.
.,.,0,.
.,HS diploma/GED,1,.
45.454544,HS diploma/GED,0,1.0
15.182186,HS diploma/GED,1,1.0
.,College degree,1,.
0.0,College degree,0,1.0
.,.,0,.
11.505682,College degree,1,1.0
.,.,0,.
.,.,1,.
0.0,Some college,0,1.0
.,Less than HS,1,.
.,College degree,0,.
16.826923,Some college,0,1.0
11.111111,Less than HS,1,0.0
.,.,1,.
.,HS diploma/GED,1,.
9.375,Some college,1,1.0
10.0,College degree,0,0.0
11.904762,Some college,1,1.0
12.5,HS diploma/GED,0,1.0
.,Less than HS,1,.
.,.,1,.
.,.,1,.
.,Some college,1,.
.,Less than HS,0,.
.,Some college,1,.
9.3,Some college,1,0.0
.,Some college,0,.
.,Some college,1,.
33.653847,Some college,0,1.0
.,.,1,.
36.81923,Graduate degree,1,1.0
19.51923,College degree,0,1.0
.,.,1,.
.,Less than HS,0,.
.,Less than HS,1,.
0.0,Some college,1,0.0
2.0833333,Some college,1,0.0
.,.,0,.
2.631579,Some college,0,1.0
0.0,HS diploma/GED,1,1.0
.,.,1,.
.,Less than HS,0,.
32.05128,HS diploma/GED,0,1.0
31.46853,HS diploma/GED,1,1.0
.,.,0,.
.,.,0,.
.,.,1,.
.,HS diploma/GED,0,.
.,Some college,1,.
.,.,0,.
.,HS diploma/GED,0,.
21.978022,Some college,1,1.0
.,HS diploma/GED,0,.
6.5384617,College degree,0,1.0
11.538462,Some college,1,1.0
.,HS diploma/GED,1,.
26.923077,HS diploma/GED,0,1.0
9.25,HS diploma/GED,0,0.0
36.858974,College degree,0,0.0
8.01282,College degree,0,1.0
0.0,Less than HS,0,0.0
.,Some college,1,.
8.653846,HS diploma/GED,0,1.0
.,.,0,.
.,.,0,.
.,.,0,.
.,.,1,.
30.594406,Some college,0,1.0
24.038462,Some college,1,1.0
18.0,Some college,0,1.0
9.803922,HS diploma/GED,1,0.0
0.0,HS diploma/GED,0,0.0
6.12375,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
.,Some college,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
0.0,College degree,1,0.0
.,Graduate degree,0,.
.,Some college,0,.
.,Less than HS,1,.
16.826923,College degree,0,1.0
20.192308,HS diploma/GED,1,1.0
.,Some college,1,.
23.846153,Some college,0,1.0
.,HS diploma/GED,1,.
39.455784,Graduate degree,1,1.0
39.455784,Graduate degree,0,1.0
.,.,0,.
.,.,0,.
31.25,Some college,0,1.0
55.882355,Graduate degree,1,1.0
.,.,1,.
13.125,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
29.05983,Some college,0,1.0
.,Graduate degree,1,.
.,Less than HS,0,.
.,.,0,.
30.906593,College degree,1,0.0
41.836735,HS diploma/GED,0,1.0
.,.,0,.
.,College degree,1,.
20.049099,College degree,1,1.0
41.53846,Graduate degree,0,1.0
28.632479,HS diploma/GED,0,1.0
10.714286,Some college,1,0.0
.,.,1,.
.,.,0,.
.,.,1,.
.,College degree,1,.
.,Graduate degree,0,.
40.384617,Graduate degree,1,0.0
29.024942,Graduate degree,0,1.0
.,.,1,.
.,.,0,.
.,.,0,.
19.23077,Some college,1,1.0
.,HS diploma/GED,0,.
.,Less than HS,1,.
0.0,HS diploma/GED,0,1.0
9.615385,Less than HS,1,0.0
.,.,1,.
7.3964496,Some college,1,1.0
.,HS diploma/GED,0,.
8.974359,HS diploma/GED,1,0.0
.,HS diploma/GED,0,.
76.92308,Graduate degree,1,1.0
57.692307,Graduate degree,0,1.0
.,.,0,.
.,.,1,.
87.239586,Graduate degree,1,0.0
8.974359,HS diploma/GED,1,0.0
18.26923,HS diploma/GED,1,1.0
25.641026,HS diploma/GED,0,1.0
11.401099,HS diploma/GED,1,0.0
.,Some college,1,.
38.46154,College degree,0,1.0
.,Some college,1,.
200.0,Some college,0,0.0
.,Less than HS,1,.
51.875,HS diploma/GED,0,1.0
45.673077,HS diploma/GED,0,1.0
16.826923,HS diploma/GED,1,1.0
.,HS diploma/GED,0,.
35.470085,HS diploma/GED,0,1.0
.,.,1,.
.,.,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
.,HS diploma/GED,0,.
48.076923,Some college,0,0.0
54.48718,Less than HS,0,0.0
46.875,College degree,0,1.0
.,Some college,1,.
23.076923,College degree,0,1.0
37.5,College degree,0,1.0
22.083334,Some college,1,0.0
34.511433,Some college,0,1.0
.,.,1,.
.,.,1,.
.,.,1,.
12.0,HS diploma/GED,0,0.0
14.423077,HS diploma/GED,1,1.0
.,College degree,0,.
2.6923077,HS diploma/GED,0,0.0
20.673077,Graduate degree,1,1.0
21.634615,College degree,1,1.0
15.384615,Some college,0,1.0
.,.,0,.
14.102564,HS diploma/GED,0,1.0
7.6923075,Less than HS,0,0.0
21.367521,Some college,1,1.0
24.038462,College degree,0,1.0
10.683761,HS diploma/GED,0,0.0
11.538462,College degree,1,1.0
11.0,College degree,1,0.0
.,Less than HS,0,.
25.48077,HS diploma/GED,1,1.0
.,HS diploma/GED,0,.
15.0,HS diploma/GED,1,1.0
20.979021,College degree,1,1.0
13.782051,College degree,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
6.1826925,Graduate degree,1,1.0
0.0,Some college,0,1.0
17.628204,HS diploma/GED,1,1.0
0.0,Graduate degree,1,0.0
32.692307,Graduate degree,0,1.0
6.25,Some college,0,1.0
.,.,0,.
0.0,HS diploma/GED,0,1.0
38.46154,HS diploma/GED,1,1.0
33.653847,Graduate degree,0,1.0
56.73077,Graduate degree,1,1.0
.,.,0,.
.,.,1,.
22.307692,Graduate degree,1,1.0
16.826923,Some college,1,1.0
0.0,HS diploma/GED,0,0.0
.,Some college,1,.
.,Less than HS,0,.
.,Less than HS,1,.
.,HS diploma/GED,0,.
19.23077,HS diploma/GED,0,1.0
.,Graduate degree,1,.
.,Graduate degree,0,.
16.923077,College degree,1,1.0
.,Graduate degree,0,.
.,.,1,.
0.0,Less than HS,0,0.0
.,Some college,1,.
10.817307,HS diploma/GED,0,1.0
.,.,1,.
.,.,0,.
16.826923,Some college,1,1.0
28.365385,College degree,1,1.0
24.038462,College degree,0,1.0
.,.,0,.
4.5,Graduate degree,0,0.0
29.380342,College degree,0,1.0
12.019231,Some college,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
.,.,1,.
14.423077,College degree,1,1.0
.,.,1,.
11.437908,Some college,0,0.0
20.096153,HS diploma/GED,0,1.0
45.673077,Some college,1,1.0
0.0,College degree,0,0.0
.,HS diploma/GED,1,.
19.23077,HS diploma/GED,0,1.0
.,.,1,.
.,.,0,.
.,.,0,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
.,College degree,1,.
122.377625,Graduate degree,0,1.0
.,.,0,.
.,.,1,.
4.524887,HS diploma/GED,1,0.0
26.923077,HS diploma/GED,0,0.0
.,HS diploma/GED,1,.
11.655012,HS diploma/GED,0,0.0
14.285714,College degree,0,1.0
13.186813,Some college,0,1.0
.,Some college,1,.
.,Some college,1,.
.,Less than HS,1,.
3.6057692,HS diploma/GED,0,1.0
.,Some college,0,.
14.166667,College degree,0,0.0
.,College degree,1,.
.,.,0,.
.,HS diploma/GED,1,.
.,.,0,.
.,HS diploma/GED,0,.
14.685315,Some college,0,1.0
20.192308,Some college,1,1.0
.,Less than HS,1,.
.,.,0,.
46.153847,Some college,0,1.0
.,HS diploma/GED,1,.
.,.,0,.
.,Some college,1,.
10.044642,HS diploma/GED,0,1.0
.,.,0,.
.,.,0,.
8.095238,College degree,1,0.0
108.695656,Graduate degree,0,1.0
.,Less than HS,0,.
.,Graduate degree,1,.
.,Some college,1,.
16.826923,HS diploma/GED,0,1.0
14.957265,Some college,1,1.0
7.2605443,Some college,1,0.0
11.6,HS diploma/GED,0,1.0
0.0,Some college,0,1.0
0.0,Some college,1,1.0
.,.,1,.
.,.,0,.
48.076923,Graduate degree,0,1.0
28.490028,College degree,1,0.0
.,.,1,.
19.23077,Some college,0,1.0
12.019231,Some college,1,1.0
.,Some college,1,.
8.01282,HS diploma/GED,0,1.0
.,.,0,.
18.028847,HS diploma/GED,0,0.0
.,College degree,0,.
.,College degree,1,.
.,HS diploma/GED,1,.
37.60684,Graduate degree,0,1.0
13.95625,College degree,1,1.0
13.942307,HS diploma/GED,1,1.0
66.34615,HS diploma/GED,0,0.0
16.153847,Less than HS,0,1.0
.,.,1,.
.,.,1,.
19.23077,Some college,0,1.0
23.076923,College degree,1,1.0
.,.,0,.
.,.,1,.
36.81923,Graduate degree,1,1.0
.,Some college,0,.
.,.,0,.
.,Graduate degree,0,.
0.0,Some college,0,0.0
.,HS diploma/GED,1,.
2.9761906,HS diploma/GED,0,0.0
8.403361,Graduate degree,1,0.0
8.241758,Graduate degree,0,0.0
.,Less than HS,0,.
11.538462,College degree,1,0.0
1.9230769,HS diploma/GED,1,0.0
0.0,College degree,0,1.0
.,College degree,1,.
9.821428,Some college,0,1.0
7.142857,Less than HS,0,1.0
6.6666665,Less than HS,0,0.0
.,.,0,.
47.916668,Some college,0,0.0
7.9545455,Some college,0,0.0
9.615385,Some college,0,0.0
0.0,College degree,0,0.0
.,Some college,1,.
16.0,Less than HS,0,0.0
41.666668,Graduate degree,1,0.0
130.0,Graduate degree,0,1.0
.,Less than HS,0,.
.,.,0,.
.,.,0,.
11.538462,Some college,0,1.0
.,College degree,1,.
.,HS diploma/GED,0,.
.,Some college,0,.
.,HS diploma/GED,1,.
0.0,College degree,0,1.0
28.787878,HS diploma/GED,1,1.0
.,HS diploma/GED,1,.
38.870705,Some college,1,1.0
36.057693,College degree,0,1.0
.,Less than HS,0,.
.,Some college,1,.
25.0,Less than HS,0,1.0
12.980769,Some college,1,1.0
.,Less than HS,1,.
.,Less than HS,1,.
.,.,0,.
.,College degree,0,.
.,College degree,1,.
36.057693,College degree,1,0.0
20.192308,Some college,0,1.0
15.9212885,Some college,0,1.0
9.615385,HS diploma/GED,1,1.0
6.25,Less than HS,0,1.0
.,.,1,.
11.9,HS diploma/GED,1,0.0
.,Less than HS,0,.
.,Less than HS,0,.
.,Graduate degree,0,.
0.0,Some college,1,1.0
34.615383,Graduate degree,1,1.0
26.442308,College degree,0,1.0
.,.,0,.
9.615385,Some college,1,0.0
14.423077,HS diploma/GED,0,1.0
.,.,1,.
.,Some college,0,.
12.345679,HS diploma/GED,1,1.0
.,Graduate degree,1,.
22.844828,HS diploma/GED,0,1.0
.,Some college,1,.
.,HS diploma/GED,0,.
.,Less than HS,0,.
192.3077,Some college,0,1.0
27.777779,Some college,0,1.0
11.979167,Some college,1,1.0
.,.,0,.
.,.,1,.
22.624434,Some college,1,1.0
20.673077,HS diploma/GED,0,1.0
8.653846,HS diploma/GED,1,1.0
19.23077,HS diploma/GED,0,1.0
.,.,1,.
23.428572,HS diploma/GED,1,1.0
28.75,HS diploma/GED,0,0.0
28.846153,HS diploma/GED,0,1.0
.,Less than HS,1,.
.,HS diploma/GED,1,.
48.076923,HS diploma/GED,1,0.0
.,.,0,.
.,.,1,.
.,Some college,1,.
17.435898,Some college,0,1.0
.,.,1,.
19.23077,HS diploma/GED,1,1.0
0.0,Some college,0,1.0
.,.,1,.
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
7.5,Less than HS,1,0.0
.,Less than HS,1,.
.,Less than HS,1,.
.,.,1,.
.,HS diploma/GED,0,.
.,Some college,1,.
52.884617,College degree,0,1.0
.,Graduate degree,1,.
4.1666665,Some college,1,0.0
4.861111,Less than HS,1,0.0
.,.,1,.
.,Some college,0,.
.,Less than HS,1,.
.,Some college,1,.
.,College degree,0,.
0.0,Some college,1,1.0
35.576923,Some college,0,1.0
35.0,Some college,0,1.0
80.128204,Some college,0,0.0
.,HS diploma/GED,1,.
.,.,1,.
.,.,1,.
.,.,1,.
0.0,College degree,1,0.0
0.0,Some college,0,1.0
.,Less than HS,0,.
99.1453,Graduate degree,0,1.0
.,Some college,1,.
16.239317,Some college,1,1.0
24.038462,College degree,1,1.0
19.23077,College degree,0,1.0
.,.,0,.
.,.,0,.
122.377625,Graduate degree,0,1.0
.,Some college,1,.
.,.,0,.
.,HS diploma/GED,0,.
26.442308,HS diploma/GED,1,1.0
.,.,1,.
8.413462,HS diploma/GED,1,0.0
12.019231,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
26.58547,College degree,0,1.0
40.865383,Some college,0,1.0
.,Some college,1,.
12.5,Some college,1,0.0
30.0,College degree,1,0.0
36.057693,College degree,0,1.0
7.5,Some college,0,0.0
.,HS diploma/GED,1,.
.,College degree,0,.
43.26923,HS diploma/GED,0,1.0
27.944712,HS diploma/GED,1,0.0
17.307692,College degree,1,1.0
16.346153,HS diploma/GED,0,1.0
.,Less than HS,0,.
.,.,0,.
.,.,0,.
.,.,0,.
.,Some college,1,.
16.826923,Some college,0,1.0
.,Less than HS,1,.
24.038462,HS diploma/GED,0,1.0
40.59829,Graduate degree,0,1.0
.,Graduate degree,1,.
.,Some college,0,.
14.423077,HS diploma/GED,0,1.0
20.192308,HS diploma/GED,1,1.0
.,.,1,.
.,.,0,.
.,Some college,0,.
.,College degree,1,.
21.978022,Graduate degree,0,1.0
.,.,1,.
9.523809,HS diploma/GED,1,0.0
.,.,0,.
.,Less than HS,1,.
21.428572,HS diploma/GED,1,0.0
24.038462,HS diploma/GED,0,1.0
36.057693,Graduate degree,1,1.0
57.692307,College degree,0,1.0
.,.,1,.
20.833334,College degree,0,1.0
58.666668,College degree,1,0.0
6.638889,Some college,0,0.0
24.038462,College degree,1,1.0
24.038462,College degree,0,1.0
.,.,0,.
69.84127,Some college,0,1.0
.,HS diploma/GED,1,.
.,HS diploma/GED,1,.
15.0,HS diploma/GED,0,0.0
6.25,Some college,0,0.0
.,Less than HS,0,.
.,Some college,1,.
51.62393,College degree,1,1.0
45.673077,HS diploma/GED,0,1.0
.,.,1,.
.,.,0,.
18.92133,College degree,1,1.0
26.433172,Graduate degree,0,1.0
0.0,Less than HS,1,0.0
.,HS diploma/GED,0,.
.,Some college,1,.
.,Graduate degree,1,.
.,HS diploma/GED,1,.
38.46154,College degree,0,1.0
9.2859535,Some college,1,0.0
.,.,1,.
.,.,0,.
30.895727,Graduate degree,0,1.0
14.164904,College degree,1,1.0
.,Some college,1,.
8.653846,Some college,1,1.0
.,.,0,.
.,.,0,.
18.75,Some college,0,1.0
.,Less than HS,1,.
10.7456045,Some college,0,1.0
36.057693,Graduate degree,0,1.0
.,Graduate degree,1,.
75.0,Graduate degree,0,0.0
12.980769,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
0.0,Some college,1,0.0
19.047619,Some college,0,1.0
.,Some college,1,.
.,HS diploma/GED,1,.
28.596539,College degree,0,1.0
.,HS diploma/GED,1,.
.,College degree,0,.
24.122807,College degree,1,1.0
27.777779,College degree,0,1.0
59.82906,College degree,1,1.0
