state,year,commodity,var,value
Alabama,2013,"113 Forestry Products, Nesoi",exports,28821421
Alabama,2013,"113 Forestry Products, Nesoi",imports,48288548
Alabama,2014,"113 Forestry Products, Nesoi",exports,29254135
Alabama,2014,"113 Forestry Products, Nesoi",imports,35971982
Alabama,2015,"113 Forestry Products, Nesoi",exports,17007294
Alabama,2015,"113 Forestry Products, Nesoi",imports,25995695
Alabama,2016,"113 Forestry Products, Nesoi",exports,23979843
Alabama,2016,"113 Forestry Products, Nesoi",imports,20283528
Alabama,2017,"113 Forestry Products, Nesoi",exports,53498616
Alabama,2017,"113 Forestry Products, Nesoi",imports,27675708
Alabama,2008,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,3663405
Alabama,2008,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,3928764
Alabama,2009,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,3566581
Alabama,2009,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,2521618
Alabama,2010,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,3886832
Alabama,2010,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,1661718
Alabama,2011,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,3289684
Alabama,2011,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,1089710
Alabama,2012,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,2779522
Alabama,2012,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,2067856
Alabama,2013,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,4639580
Alabama,2013,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,4956218
Alabama,2014,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,3675889
Alabama,2014,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,2896163
Alabama,2015,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,3973774
Alabama,2015,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,2413831
Alabama,2016,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,2561191
Alabama,2016,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,2511424
Alabama,2017,"114 Fish, Fresh/chilled/frozen & Other Marine Products",exports,2693535
Alabama,2017,"114 Fish, Fresh/chilled/frozen & Other Marine Products",imports,2510789
Alabama,2008,211 Oil & Gas,exports,356418
Alabama,2008,211 Oil & Gas,imports,2832248983
Alabama,2009,211 Oil & Gas,exports,68061
Alabama,2009,211 Oil & Gas,imports,1287430138
Alabama,2010,211 Oil & Gas,exports,3258
Alabama,2010,211 Oil & Gas,imports,1566777729
Alabama,2011,211 Oil & Gas,exports,44852
Alabama,2011,211 Oil & Gas,imports,1363160925
Alabama,2012,211 Oil & Gas,exports,72597
Alabama,2012,211 Oil & Gas,imports,341751007
Alabama,2013,211 Oil & Gas,exports,40431
Alabama,2013,211 Oil & Gas,imports,348006228
Alabama,2014,211 Oil & Gas,exports,12702
Alabama,2014,211 Oil & Gas,imports,2645631902
Alabama,2015,211 Oil & Gas,exports,80402
Alabama,2015,211 Oil & Gas,imports,1817073036
Alabama,2016,211 Oil & Gas,exports,57135
Alabama,2016,211 Oil & Gas,imports,1896176423
Alabama,2008,212 Minerals & Ores,exports,1150141104
Alabama,2008,212 Minerals & Ores,imports,580657091
Alabama,2009,212 Minerals & Ores,exports,1020574738
Alabama,2009,212 Minerals & Ores,imports,447481735
Alabama,2010,212 Minerals & Ores,exports,1752640736
Alabama,2010,212 Minerals & Ores,imports,416461648
Alabama,2011,212 Minerals & Ores,exports,2244006458
Alabama,2011,212 Minerals & Ores,imports,270237444
Alabama,2012,212 Minerals & Ores,exports,1767770943
Alabama,2012,212 Minerals & Ores,imports,291017015
Alabama,2013,212 Minerals & Ores,exports,1383617394
Alabama,2013,212 Minerals & Ores,imports,278454739
Alabama,2014,212 Minerals & Ores,exports,1134853370
Alabama,2014,212 Minerals & Ores,imports,380546719
Alabama,2015,212 Minerals & Ores,exports,702404378
Alabama,2015,212 Minerals & Ores,imports,294627907
Alabama,2016,212 Minerals & Ores,exports,563828319
Alabama,2016,212 Minerals & Ores,imports,187483692
Alabama,2017,212 Minerals & Ores,exports,1412051504
Alabama,2017,212 Minerals & Ores,imports,120877259
Alabama,2008,311 Food & Kindred Products,exports,348302627
Alabama,2008,311 Food & Kindred Products,imports,60783821
Alabama,2009,311 Food & Kindred Products,exports,600798778
Alabama,2009,311 Food & Kindred Products,imports,42831392
Alabama,2010,311 Food & Kindred Products,exports,296439646
Alabama,2010,311 Food & Kindred Products,imports,52765717
Alabama,2011,311 Food & Kindred Products,exports,552564484
Alabama,2011,311 Food & Kindred Products,imports,65234021
Alabama,2012,311 Food & Kindred Products,exports,584358882
Alabama,2012,311 Food & Kindred Products,imports,64034455
Alabama,2013,311 Food & Kindred Products,exports,568140352
Alabama,2013,311 Food & Kindred Products,imports,109669899
Alabama,2014,311 Food & Kindred Products,exports,464796096
Alabama,2014,311 Food & Kindred Products,imports,119993818
Alabama,2015,311 Food & Kindred Products,exports,329094110
Alabama,2015,311 Food & Kindred Products,imports,125053610
Alabama,2016,311 Food & Kindred Products,exports,288220973
Alabama,2016,311 Food & Kindred Products,imports,165420233
Alabama,2017,311 Food & Kindred Products,exports,307746516
Alabama,2017,311 Food & Kindred Products,imports,167735700
Alabama,2008,312 Beverages & Tobacco Products,exports,3119378
Alabama,2008,312 Beverages & Tobacco Products,imports,179108361
Alabama,2009,312 Beverages & Tobacco Products,exports,5891632
Alabama,2009,312 Beverages & Tobacco Products,imports,126582644
Alabama,2010,312 Beverages & Tobacco Products,exports,5341316
Alabama,2010,312 Beverages & Tobacco Products,imports,58889918
Alabama,2011,312 Beverages & Tobacco Products,exports,4020905
Alabama,2011,312 Beverages & Tobacco Products,imports,62125009
Alabama,2012,312 Beverages & Tobacco Products,exports,2364998
Alabama,2012,312 Beverages & Tobacco Products,imports,53044096
Alabama,2013,312 Beverages & Tobacco Products,exports,2567886
Alabama,2013,312 Beverages & Tobacco Products,imports,25404108
Alabama,2014,312 Beverages & Tobacco Products,exports,1878643
Alabama,2014,312 Beverages & Tobacco Products,imports,28005658
Alabama,2015,312 Beverages & Tobacco Products,exports,5063747
Alabama,2015,312 Beverages & Tobacco Products,imports,32646259
Alabama,2016,312 Beverages & Tobacco Products,exports,3193133
Alabama,2016,312 Beverages & Tobacco Products,imports,32122422
Alabama,2017,312 Beverages & Tobacco Products,exports,5748429
Alabama,2017,312 Beverages & Tobacco Products,imports,27451216
Alabama,2008,313 Textiles & Fabrics,exports,303848846
Alabama,2008,313 Textiles & Fabrics,imports,81030945
Alabama,2009,313 Textiles & Fabrics,exports,189087557
Alabama,2009,313 Textiles & Fabrics,imports,63374642
Alabama,2010,313 Textiles & Fabrics,exports,215862194
Alabama,2010,313 Textiles & Fabrics,imports,80524715
Alabama,2011,313 Textiles & Fabrics,exports,284801266
Alabama,2011,313 Textiles & Fabrics,imports,89641734
Alabama,2012,313 Textiles & Fabrics,exports,295527968
Alabama,2012,313 Textiles & Fabrics,imports,104056549
Alabama,2013,313 Textiles & Fabrics,exports,250830434
Alabama,2013,313 Textiles & Fabrics,imports,101957296
Alabama,2014,313 Textiles & Fabrics,exports,250206497
Alabama,2014,313 Textiles & Fabrics,imports,118557703
Alabama,2015,313 Textiles & Fabrics,exports,193330491
Alabama,2015,313 Textiles & Fabrics,imports,122067746
Alabama,2016,313 Textiles & Fabrics,exports,179013057
Alabama,2016,313 Textiles & Fabrics,imports,113969853
Alabama,2017,313 Textiles & Fabrics,exports,168737100
Alabama,2017,313 Textiles & Fabrics,imports,115252682
Alabama,2008,314 Textile Mill Products,exports,59833589
Alabama,2008,314 Textile Mill Products,imports,75958172
Alabama,2009,314 Textile Mill Products,exports,42733581
Alabama,2009,314 Textile Mill Products,imports,106406342
Alabama,2010,314 Textile Mill Products,exports,53403008
Alabama,2010,314 Textile Mill Products,imports,104225048
Alabama,2011,314 Textile Mill Products,exports,58777459
Alabama,2011,314 Textile Mill Products,imports,86353932
Alabama,2012,314 Textile Mill Products,exports,68058665
Alabama,2012,314 Textile Mill Products,imports,84397180
Alabama,2013,314 Textile Mill Products,exports,39301418
Alabama,2013,314 Textile Mill Products,imports,77013350
Alabama,2014,314 Textile Mill Products,exports,43116559
Alabama,2014,314 Textile Mill Products,imports,93490103
Alabama,2015,314 Textile Mill Products,exports,38803979
Alabama,2015,314 Textile Mill Products,imports,104543579
Alabama,2016,314 Textile Mill Products,exports,38531178
Alabama,2016,314 Textile Mill Products,imports,135279171
Alabama,2017,314 Textile Mill Products,exports,39278675
Alabama,2017,314 Textile Mill Products,imports,126798029
Alabama,2008,315 Apparel & Accessories,exports,22879945
Alabama,2008,315 Apparel & Accessories,imports,610174539
Alabama,2009,315 Apparel & Accessories,exports,46197176
Alabama,2009,315 Apparel & Accessories,imports,460464336
Alabama,2010,315 Apparel & Accessories,exports,68547487
Alabama,2010,315 Apparel & Accessories,imports,522736933
Alabama,2011,315 Apparel & Accessories,exports,25612309
Alabama,2011,315 Apparel & Accessories,imports,574355006
Alabama,2012,315 Apparel & Accessories,exports,13778865
Alabama,2012,315 Apparel & Accessories,imports,510417910
Alabama,2013,315 Apparel & Accessories,exports,11724709
Alabama,2013,315 Apparel & Accessories,imports,434286978
Alabama,2014,315 Apparel & Accessories,exports,9583939
Alabama,2014,315 Apparel & Accessories,imports,437344153
Alabama,2015,315 Apparel & Accessories,exports,8510463
Alabama,2015,315 Apparel & Accessories,imports,543881066
Alabama,2016,315 Apparel & Accessories,exports,8196098
Alabama,2016,315 Apparel & Accessories,imports,828146417
Alabama,2017,315 Apparel & Accessories,exports,8990098
Alabama,2017,315 Apparel & Accessories,imports,969854072
Alabama,2008,316 Leather & Allied Products,exports,3198292
Alabama,2008,316 Leather & Allied Products,imports,123577526
Alabama,2009,316 Leather & Allied Products,exports,5636236
Alabama,2009,316 Leather & Allied Products,imports,96794845
Alabama,2010,316 Leather & Allied Products,exports,6127539
Alabama,2010,316 Leather & Allied Products,imports,107324079
Alabama,2011,316 Leather & Allied Products,exports,2864027
Alabama,2011,316 Leather & Allied Products,imports,145268690
Alabama,2012,316 Leather & Allied Products,exports,8693383
Alabama,2012,316 Leather & Allied Products,imports,171745568
Alabama,2013,316 Leather & Allied Products,exports,9394333
Alabama,2013,316 Leather & Allied Products,imports,172245919
Alabama,2014,316 Leather & Allied Products,exports,13709932
Alabama,2014,316 Leather & Allied Products,imports,198374957
Alabama,2015,316 Leather & Allied Products,exports,2469216
Alabama,2015,316 Leather & Allied Products,imports,209930798
Alabama,2016,316 Leather & Allied Products,exports,8468326
Alabama,2016,316 Leather & Allied Products,imports,255277308
Alabama,2017,316 Leather & Allied Products,exports,5764952
Alabama,2017,316 Leather & Allied Products,imports,281404455
Alabama,2008,321 Wood Products,exports,213086647
Alabama,2008,321 Wood Products,imports,217842938
Alabama,2009,321 Wood Products,exports,176178404
Alabama,2009,321 Wood Products,imports,129726500
Alabama,2010,321 Wood Products,exports,190577831
Alabama,2010,321 Wood Products,imports,138785927
Alabama,2011,321 Wood Products,exports,189316497
Alabama,2011,321 Wood Products,imports,149788157
Alabama,2012,321 Wood Products,exports,187752628
Alabama,2012,321 Wood Products,imports,161528134
Alabama,2013,321 Wood Products,exports,253417449
Alabama,2013,321 Wood Products,imports,184723988
Alabama,2014,321 Wood Products,exports,300318143
Alabama,2014,321 Wood Products,imports,194088963
Alabama,2015,321 Wood Products,exports,294918436
Alabama,2015,321 Wood Products,imports,175869018
Alabama,2016,321 Wood Products,exports,294279350
Alabama,2016,321 Wood Products,imports,195214002
Alabama,2017,321 Wood Products,exports,262322054
Alabama,2017,321 Wood Products,imports,234694342
Alabama,2008,322 Paper,exports,1013976769
Alabama,2008,322 Paper,imports,183975093
Alabama,2009,322 Paper,exports,809760390
Alabama,2009,322 Paper,imports,157364903
Alabama,2010,322 Paper,exports,946860799
Alabama,2010,322 Paper,imports,162087568
Alabama,2011,322 Paper,exports,1018213960
Alabama,2011,322 Paper,imports,165833282
Alabama,2012,322 Paper,exports,865873929
Alabama,2012,322 Paper,imports,95924572
Alabama,2013,322 Paper,exports,733458144
Alabama,2013,322 Paper,imports,110948772
Alabama,2014,322 Paper,exports,676705502
Alabama,2014,322 Paper,imports,103951520
Alabama,2015,322 Paper,exports,781397157
Alabama,2015,322 Paper,imports,100584510
Alabama,2016,322 Paper,exports,870585355
Alabama,2016,322 Paper,imports,108075357
Alabama,2017,322 Paper,exports,1031640973
Alabama,2017,322 Paper,imports,151306715
Alabama,2008,"323 Printed Matter And Related Products, Nesoi",exports,9721767
Alabama,2008,"323 Printed Matter And Related Products, Nesoi",imports,44175501
Alabama,2009,"323 Printed Matter And Related Products, Nesoi",exports,10853812
Alabama,2009,"323 Printed Matter And Related Products, Nesoi",imports,31698440
Alabama,2010,"323 Printed Matter And Related Products, Nesoi",exports,5596930
Alabama,2010,"323 Printed Matter And Related Products, Nesoi",imports,33274352
Alabama,2011,"323 Printed Matter And Related Products, Nesoi",exports,5144279
Alabama,2011,"323 Printed Matter And Related Products, Nesoi",imports,35782437
Alabama,2012,"323 Printed Matter And Related Products, Nesoi",exports,5381494
Alabama,2012,"323 Printed Matter And Related Products, Nesoi",imports,24281850
Alabama,2013,"323 Printed Matter And Related Products, Nesoi",exports,4932978
Alabama,2013,"323 Printed Matter And Related Products, Nesoi",imports,25991239
Alabama,2014,"323 Printed Matter And Related Products, Nesoi",exports,6177001
Alabama,2014,"323 Printed Matter And Related Products, Nesoi",imports,27967722
Alabama,2015,"323 Printed Matter And Related Products, Nesoi",exports,5302222
Alabama,2015,"323 Printed Matter And Related Products, Nesoi",imports,29531678
Alabama,2016,"323 Printed Matter And Related Products, Nesoi",exports,4777853
Alabama,2016,"323 Printed Matter And Related Products, Nesoi",imports,23447721
Alabama,2017,"323 Printed Matter And Related Products, Nesoi",exports,4054763
Alabama,2017,"323 Printed Matter And Related Products, Nesoi",imports,23701312
Alabama,2008,324 Petroleum & Coal Products,exports,174655661
Alabama,2008,324 Petroleum & Coal Products,imports,44918858
Alabama,2009,324 Petroleum & Coal Products,exports,101771724
Alabama,2009,324 Petroleum & Coal Products,imports,32086210
Alabama,2010,324 Petroleum & Coal Products,exports,80972063
Alabama,2010,324 Petroleum & Coal Products,imports,34493429
Alabama,2011,324 Petroleum & Coal Products,exports,139453681
Alabama,2011,324 Petroleum & Coal Products,imports,83715524
Alabama,2012,324 Petroleum & Coal Products,exports,197151743
Alabama,2012,324 Petroleum & Coal Products,imports,64318949
Alabama,2013,324 Petroleum & Coal Products,exports,97877566
Alabama,2013,324 Petroleum & Coal Products,imports,45446378
Alabama,2014,324 Petroleum & Coal Products,exports,115707394
Alabama,2014,324 Petroleum & Coal Products,imports,42091555
Alabama,2015,324 Petroleum & Coal Products,exports,180139635
Alabama,2015,324 Petroleum & Coal Products,imports,193742807
Alabama,2016,324 Petroleum & Coal Products,exports,370160785
Alabama,2016,324 Petroleum & Coal Products,imports,243441866
Alabama,2017,324 Petroleum & Coal Products,exports,258752502
Alabama,2017,324 Petroleum & Coal Products,imports,32320324
Alabama,2008,325 Chemicals,exports,2281513367
Alabama,2008,325 Chemicals,imports,939866437
Alabama,2009,325 Chemicals,exports,1447107530
Alabama,2009,325 Chemicals,imports,706339095
Alabama,2010,325 Chemicals,exports,2019031156
Alabama,2010,325 Chemicals,imports,822066092
Alabama,2011,325 Chemicals,exports,2345793949
Alabama,2011,325 Chemicals,imports,1063640394
Alabama,2012,325 Chemicals,exports,2579828938
Alabama,2012,325 Chemicals,imports,1080965399
Alabama,2013,325 Chemicals,exports,2491614257
Alabama,2013,325 Chemicals,imports,1298703671
Alabama,2014,325 Chemicals,exports,2467043657
Alabama,2014,325 Chemicals,imports,1529231831
Alabama,2015,325 Chemicals,exports,2131510583
Alabama,2015,325 Chemicals,imports,1358245248
Alabama,2016,325 Chemicals,exports,2191633760
Alabama,2016,325 Chemicals,imports,1220754153
Alabama,2017,325 Chemicals,exports,2276536901
Alabama,2017,325 Chemicals,imports,1323212852
Alabama,2008,326 Plastics & Rubber Products,exports,323314980
Alabama,2008,326 Plastics & Rubber Products,imports,355972257
Alabama,2009,326 Plastics & Rubber Products,exports,340991169
Alabama,2009,326 Plastics & Rubber Products,imports,296659788
Alabama,2010,326 Plastics & Rubber Products,exports,354284543
Alabama,2010,326 Plastics & Rubber Products,imports,406977216
Alabama,2011,326 Plastics & Rubber Products,exports,346749347
Alabama,2011,326 Plastics & Rubber Products,imports,399999890
Alabama,2012,326 Plastics & Rubber Products,exports,427879998
Alabama,2012,326 Plastics & Rubber Products,imports,491681534
Alabama,2013,326 Plastics & Rubber Products,exports,397515527
Alabama,2013,326 Plastics & Rubber Products,imports,597413304
Alabama,2014,326 Plastics & Rubber Products,exports,377152517
Alabama,2014,326 Plastics & Rubber Products,imports,572231140
Alabama,2015,326 Plastics & Rubber Products,exports,423088450
Alabama,2015,326 Plastics & Rubber Products,imports,706984638
Alabama,2016,326 Plastics & Rubber Products,exports,390694637
Alabama,2016,326 Plastics & Rubber Products,imports,694422746
Alabama,2017,326 Plastics & Rubber Products,exports,403277115
Alabama,2017,326 Plastics & Rubber Products,imports,685822725
Alabama,2008,327 Nonmetallic Mineral Products,exports,144741269
Alabama,2008,327 Nonmetallic Mineral Products,imports,138889209
Alabama,2009,327 Nonmetallic Mineral Products,exports,89967898
Alabama,2009,327 Nonmetallic Mineral Products,imports,93653479
Alabama,2010,327 Nonmetallic Mineral Products,exports,106224060
Alabama,2010,327 Nonmetallic Mineral Products,imports,118948661
Alabama,2011,327 Nonmetallic Mineral Products,exports,121322967
Alabama,2011,327 Nonmetallic Mineral Products,imports,136381051
Alabama,2012,327 Nonmetallic Mineral Products,exports,109449310
Alabama,2012,327 Nonmetallic Mineral Products,imports,141936595
Alabama,2013,327 Nonmetallic Mineral Products,exports,97107941
Alabama,2013,327 Nonmetallic Mineral Products,imports,148899071
Alabama,2014,327 Nonmetallic Mineral Products,exports,99282911
Alabama,2014,327 Nonmetallic Mineral Products,imports,197533091
Alabama,2015,327 Nonmetallic Mineral Products,exports,96200802
Alabama,2015,327 Nonmetallic Mineral Products,imports,167746931
Alabama,2016,327 Nonmetallic Mineral Products,exports,84988761
Alabama,2016,327 Nonmetallic Mineral Products,imports,210939811
Alabama,2017,327 Nonmetallic Mineral Products,exports,84034883
Alabama,2017,327 Nonmetallic Mineral Products,imports,221875286
Alabama,2008,331 Primary Metal Mfg,exports,1011162018
Alabama,2008,331 Primary Metal Mfg,imports,993204763
Alabama,2009,331 Primary Metal Mfg,exports,708262123
Alabama,2009,331 Primary Metal Mfg,imports,635351821
Alabama,2010,331 Primary Metal Mfg,exports,703197044
Alabama,2010,331 Primary Metal Mfg,imports,1124129437
Alabama,2011,331 Primary Metal Mfg,exports,1047239826
Alabama,2011,331 Primary Metal Mfg,imports,2547817516
Alabama,2012,331 Primary Metal Mfg,exports,1405082042
Alabama,2012,331 Primary Metal Mfg,imports,2952129864
Alabama,2013,331 Primary Metal Mfg,exports,1453638450
Alabama,2013,331 Primary Metal Mfg,imports,2667440586
Alabama,2014,331 Primary Metal Mfg,exports,1512799277
Alabama,2014,331 Primary Metal Mfg,imports,1849443133
Alabama,2015,331 Primary Metal Mfg,exports,1582098348
Alabama,2015,331 Primary Metal Mfg,imports,1276739153
Alabama,2016,331 Primary Metal Mfg,exports,1478314970
Alabama,2016,331 Primary Metal Mfg,imports,1284646555
Alabama,2017,331 Primary Metal Mfg,exports,1929974933
Alabama,2017,331 Primary Metal Mfg,imports,1721504531
Alabama,2008,"332 Fabricated Metal Products, Nesoi",exports,310416780
Alabama,2008,"332 Fabricated Metal Products, Nesoi",imports,670334789
Alabama,2009,"332 Fabricated Metal Products, Nesoi",exports,270990861
Alabama,2009,"332 Fabricated Metal Products, Nesoi",imports,566285733
Alabama,2010,"332 Fabricated Metal Products, Nesoi",exports,300931817
Alabama,2010,"332 Fabricated Metal Products, Nesoi",imports,772672805
Alabama,2011,"332 Fabricated Metal Products, Nesoi",exports,527197113
Alabama,2011,"332 Fabricated Metal Products, Nesoi",imports,932840825
Alabama,2012,"332 Fabricated Metal Products, Nesoi",exports,344353909
Alabama,2012,"332 Fabricated Metal Products, Nesoi",imports,1140842414
Alabama,2013,"332 Fabricated Metal Products, Nesoi",exports,463016312
Alabama,2013,"332 Fabricated Metal Products, Nesoi",imports,1178566161
Alabama,2014,"332 Fabricated Metal Products, Nesoi",exports,378018632
Alabama,2014,"332 Fabricated Metal Products, Nesoi",imports,1259064050
Alabama,2015,"332 Fabricated Metal Products, Nesoi",exports,377744081
Alabama,2015,"332 Fabricated Metal Products, Nesoi",imports,1325447667
Alabama,2016,"332 Fabricated Metal Products, Nesoi",exports,400814695
Alabama,2016,"332 Fabricated Metal Products, Nesoi",imports,1339844616
Alabama,2017,"332 Fabricated Metal Products, Nesoi",exports,323011050
Alabama,2017,"332 Fabricated Metal Products, Nesoi",imports,1430464682
Alabama,2008,"333 Machinery, Except Electrical",exports,853385447
Alabama,2008,"333 Machinery, Except Electrical",imports,1432088561
Alabama,2009,"333 Machinery, Except Electrical",exports,877729764
Alabama,2009,"333 Machinery, Except Electrical",imports,1566855528
Alabama,2010,"333 Machinery, Except Electrical",exports,1137203586
Alabama,2010,"333 Machinery, Except Electrical",imports,1575304779
Alabama,2011,"333 Machinery, Except Electrical",exports,1212947334
Alabama,2011,"333 Machinery, Except Electrical",imports,1705402945
Alabama,2012,"333 Machinery, Except Electrical",exports,1016389431
Alabama,2012,"333 Machinery, Except Electrical",imports,1824468444
Alabama,2013,"333 Machinery, Except Electrical",exports,863592188
Alabama,2013,"333 Machinery, Except Electrical",imports,1954613801
Alabama,2014,"333 Machinery, Except Electrical",exports,860167913
Alabama,2014,"333 Machinery, Except Electrical",imports,2068227876
Alabama,2015,"333 Machinery, Except Electrical",exports,1070388153
Alabama,2015,"333 Machinery, Except Electrical",imports,2122311025
Alabama,2016,"333 Machinery, Except Electrical",exports,913012705
Alabama,2016,"333 Machinery, Except Electrical",imports,1987654810
Alabama,2017,"333 Machinery, Except Electrical",exports,695403462
Alabama,2017,"333 Machinery, Except Electrical",imports,2158095975
Alabama,2008,334 Computer & Electronic Products,exports,633069890
Alabama,2008,334 Computer & Electronic Products,imports,1443780152
Alabama,2009,334 Computer & Electronic Products,exports,603725692
Alabama,2009,334 Computer & Electronic Products,imports,1085965439
Alabama,2010,334 Computer & Electronic Products,exports,698284611
Alabama,2010,334 Computer & Electronic Products,imports,1293231539
Alabama,2011,334 Computer & Electronic Products,exports,631179527
Alabama,2011,334 Computer & Electronic Products,imports,1318590567
Alabama,2012,334 Computer & Electronic Products,exports,641745703
Alabama,2012,334 Computer & Electronic Products,imports,1396669785
Alabama,2013,334 Computer & Electronic Products,exports,552100625
Alabama,2013,334 Computer & Electronic Products,imports,1520850409
Alabama,2014,334 Computer & Electronic Products,exports,652804329
Alabama,2014,334 Computer & Electronic Products,imports,1484885346
Alabama,2015,334 Computer & Electronic Products,exports,581912941
Alabama,2015,334 Computer & Electronic Products,imports,1599744545
Alabama,2016,334 Computer & Electronic Products,exports,555547352
Alabama,2016,334 Computer & Electronic Products,imports,1586331809
Alabama,2017,334 Computer & Electronic Products,exports,522996340
Alabama,2017,334 Computer & Electronic Products,imports,1549770757
Alabama,2008,"335 Electrical Equipment, Appliances & Components",exports,176844077
Alabama,2008,"335 Electrical Equipment, Appliances & Components",imports,430364760
Alabama,2009,"335 Electrical Equipment, Appliances & Components",exports,180293524
Alabama,2009,"335 Electrical Equipment, Appliances & Components",imports,374585341
Alabama,2010,"335 Electrical Equipment, Appliances & Components",exports,197913936
Alabama,2010,"335 Electrical Equipment, Appliances & Components",imports,433337852
Alabama,2011,"335 Electrical Equipment, Appliances & Components",exports,161429066
Alabama,2011,"335 Electrical Equipment, Appliances & Components",imports,570673697
Alabama,2012,"335 Electrical Equipment, Appliances & Components",exports,308816602
Alabama,2012,"335 Electrical Equipment, Appliances & Components",imports,725455213
Alabama,2013,"335 Electrical Equipment, Appliances & Components",exports,233434978
Alabama,2013,"335 Electrical Equipment, Appliances & Components",imports,867543293
Alabama,2014,"335 Electrical Equipment, Appliances & Components",exports,225393940
Alabama,2014,"335 Electrical Equipment, Appliances & Components",imports,858324835
Alabama,2015,"335 Electrical Equipment, Appliances & Components",exports,267210978
Alabama,2015,"335 Electrical Equipment, Appliances & Components",imports,982973687
Alabama,2016,"335 Electrical Equipment, Appliances & Components",exports,215539087
Alabama,2016,"335 Electrical Equipment, Appliances & Components",imports,932071367
Alabama,2017,"335 Electrical Equipment, Appliances & Components",exports,213474027
Alabama,2017,"335 Electrical Equipment, Appliances & Components",imports,934533463
Alabama,2008,336 Transportation Equipment,exports,5698371446
Alabama,2008,336 Transportation Equipment,imports,3426049105
Alabama,2009,336 Transportation Equipment,exports,4046400345
Alabama,2009,336 Transportation Equipment,imports,3209201468
